ip,timestamp,method,url,status,response_size
ts8-1.westwood.ts.ucla.edu,01/Aug/1995:03:37:36 -0400,GET,/images/Nasa-logo.gif,404,
ts8-1.westwood.ts.ucla.edu,01/Aug/1995:03:37:40 -0400,GET,/images/Nasa-logo.gif,404,
ts8-1.westwood.ts.ucla.edu,01/Aug/1995:03:37:42 -0400,GET,/images/Nasa-logo.gif,404,
ts8-1.westwood.ts.ucla.edu,01/Aug/1995:03:37:51 -0400,GET,/images/Nasa-logo.gif,404,
ts8-1.westwood.ts.ucla.edu,01/Aug/1995:03:37:52 -0400,GET,/images/Nasa-logo.gif,404,
ts8-1.westwood.ts.ucla.edu,01/Aug/1995:03:37:57 -0400,GET,/images/Nasa-logo.gif,404,
ottgate2.bnr.ca,01/Aug/1995:03:38:00 -0400,GET,/images/Nasa-logo.gif,404,
ts8-1.westwood.ts.ucla.edu,01/Aug/1995:03:38:01 -0400,GET,/images/Nasa-logo.gif,404,
ts8-1.westwood.ts.ucla.edu,01/Aug/1995:03:38:05 -0400,GET,/images/Nasa-logo.gif,404,
ts8-1.westwood.ts.ucla.edu,01/Aug/1995:03:38:08 -0400,GET,/images/Nasa-logo.gif,404,
ts8-1.westwood.ts.ucla.edu,01/Aug/1995:03:38:10 -0400,GET,/images/Nasa-logo.gif,404,
ts8-1.westwood.ts.ucla.edu,01/Aug/1995:03:38:11 -0400,GET,/images/Nasa-logo.gif,404,
ts8-1.westwood.ts.ucla.edu,01/Aug/1995:03:38:13 -0400,GET,/images/Nasa-logo.gif,404,
ts8-1.westwood.ts.ucla.edu,01/Aug/1995:03:38:15 -0400,GET,/images/Nasa-logo.gif,404,
ts8-1.westwood.ts.ucla.edu,01/Aug/1995:03:38:18 -0400,GET,/images/Nasa-logo.gif,404,
ts8-1.westwood.ts.ucla.edu,01/Aug/1995:03:38:29 -0400,GET,/images/Nasa-logo.gif,404,
ts8-1.westwood.ts.ucla.edu,01/Aug/1995:03:38:34 -0400,GET,/images/Nasa-logo.gif,404,
ts8-1.westwood.ts.ucla.edu,01/Aug/1995:03:38:35 -0400,GET,/images/Nasa-logo.gif,404,
ts8-1.westwood.ts.ucla.edu,01/Aug/1995:03:38:37 -0400,GET,/images/Nasa-logo.gif,404,
ts8-1.westwood.ts.ucla.edu,01/Aug/1995:03:38:39 -0400,GET,/images/Nasa-logo.gif,404,
ts8-1.westwood.ts.ucla.edu,01/Aug/1995:03:38:41 -0400,GET,/images/Nasa-logo.gif,404,
ts8-1.westwood.ts.ucla.edu,01/Aug/1995:03:38:54 -0400,GET,/images/Nasa-logo.gif,404,
ottgate2.bnr.ca,01/Aug/1995:03:39:00 -0400,GET,/images/Nasa-logo.gif,404,
dimasu1.ffi.no,01/Aug/1995:03:39:25 -0400,GET,/elv/DELTA/uncons.htm,404,
dppp16.netpoint.net,01/Aug/1995:03:47:33 -0400,GET,/images/Nasa-logo.gif,404,
slip167.slip.uleth.ca,01/Aug/1995:03:47:34 -0400,GET,/images/Nasa-logo.gif,404,
slip167.slip.uleth.ca,01/Aug/1995:03:49:07 -0400,GET,/images/Nasa-logo.gif,404,
slip167.slip.uleth.ca,01/Aug/1995:03:50:21 -0400,GET,/images/Nasa-logo.gif,404,
www-relay.pa-x.dec.com,01/Aug/1995:03:52:15 -0400,GET,/images/Nasa-logo.gif,404,
slip167.slip.uleth.ca,01/Aug/1995:03:52:32 -0400,GET,/images/Nasa-logo.gif,404,
slip167.slip.uleth.ca,01/Aug/1995:03:52:55 -0400,GET,/images/Nasa-logo.gif,404,
mgatsby.earthlink.net,01/Aug/1995:03:53:44 -0400,GET,/images/Nasa-logo.gif,404,
slip167.slip.uleth.ca,01/Aug/1995:03:53:57 -0400,GET,/images/Nasa-logo.gif,404,
ts01-ind-21.iquest.net,01/Aug/1995:04:02:22 -0400,GET,/pub/winvn/readme.txt,404,
f8igw1.jer.intel.com,01/Aug/1995:05:07:30 -0400,GET,/history/apollo/images/little-joe.jpg,404,
147.150.41.66,01/Aug/1995:05:33:56 -0400,GET,/nasa/nasa_hottopics.html,404,
147.150.41.66,01/Aug/1995:05:34:05 -0400,GET,/nasa/nasa_hottopics.html,404,
dd10-035.compuserve.com,01/Aug/1995:05:55:48 -0400,GET,/people/nasa-cm/jmd.html,404,
tremaine.cc.uec.ac.jp,01/Aug/1995:05:58:32 -0400,GET,/elv/DELTA/uncons.htm,404,
204.62.245.32,01/Aug/1995:06:25:27 -0400,GET,/persons/astronauts/thagar.html,404,
eul64.metronet.com,01/Aug/1995:07:22:00 -0400,GET,/pub/winvn/readme.txt,404,
eul64.metronet.com,01/Aug/1995:07:22:07 -0400,GET,/pub/winvn/release.txt,404,
pcdis.rrzn.uni-hannover.de,01/Aug/1995:07:28:04 -0400,GET,/shuttle/resources/orbiters/discovery.gif,404,
153.73.3.98,01/Aug/1995:07:38:28 -0400,GET,/IUMA/lib/IUMA-title.gif,404,
153.73.3.98,01/Aug/1995:07:39:44 -0400,GET,/IUMA/lib/htu_button.gif,404,
204.62.245.32,01/Aug/1995:07:45:59 -0400,GET,/shuttle/missions/sts-63/sts-63-press-kit.tx,404,
